text,label,input
"I got stuck in traffic (I live in Sicily) on the way to the theater (at a military base) to see Superman Returns, was 15 minutes late, and the only other movie playing was ""See No Evil"", there was no poster up for it, and just a short description of the movie on the schedule...but my girlfriend and I decided to check it out...As soon as I saw it was produced by WWE I just knew it was gonna be awful. The few people in the theater were laughing most of the time, and it was the first movie that I honestly considered walking out on, and I've seen ""The Ringer""...okay, I would have walked out of that one, but I was too busy sleeping. The death of the bad guy at the end was pretty good, but other than that, it was just stupid.",0,"I got stuck in traffic (I live in Sicily) on the way to the theater (at a military base) to see Superman Returns, was "
"I don't know if this type of movie was as cliché then as it seems to be now.<br /><br />Considering how many ""Bad News Bears"" films had already been released by 1980, however, I think that this sort of movie was already a tired idea.<br /><br />A former football player is partially paralyzed in Vietnam and is confined to a wheelchair. The Chicago Bears offer him a PR job but he wants to coach. At the same time, his underage nephew is picked up for armed robbery. We are told that he has already been arrested over a dozen times before and he must now serve some hard time...which turns out to be less than a year! <br /><br />Of course, the kid is actually a good kid who only needs a tough male role model in his life. The same goes for all of the kids in the detention facility. Yes...even the one locked up for attempted murder! I'm sure you already know what happens so I'll try and keep the rest of this brief.<br /><br />Our protagonist becomes the coach of the kids' football team. He overcomes the delinquents' cynicism and earns their respect. His team faces off against a local high school team (yeah right!) and they get their butts kicked. Now determined more than ever to prove himself a worthy coach, he demands a rematch. Will these underprivileged, scrappy kids with hearts of gold be able to improve enough to win the rematch? Awful execution of the football sequences ruins any possibility of excitement in this film. ""Coach Of The Year"" should get penalized for roughing my brain. 1/10",0,"I don't know if this type of movie was as cliché then as it seems to be now.<br /><br />Considering how many ""Bad News"
"Forest of the Damned starts out as five young friends, brother & sister Emilio (Richard Cambridge) & Ally (Sophie Holland) along with Judd (Daniel Maclagan), Molly (Nicole Petty) & Andrew (David Hood), set off on a week long holiday 'in the middle of nowhere', their words not mine. Anyway, before they know it they're deep in a forest & Emilio clumsily runs over a woman (Frances Da Costa), along with a badly injured person to add to their problems the van they're travelling in won't start & they can't get any signals on their mobile phones. They need to find help quickly so Molly & Judd wander off in the hope of finding a house, as time goes by & darkness begins to fall it becomes clear that they are not alone & that there is something nasty lurking in the woods...<br /><br />This English production was written & directed by Johannes Roberts & having looked over several other comments & reviews both here on the IMDb & across the internet Forest of the Damned seems to divide opinion with some liking it & other's not, personally it didn't do much for at all. The script is credited on screen to Roberts but here on the IMDb it lists Joseph London with 'additional screenplay material' whatever that means, the film is your basic backwoods slasher type thing like The Texas Chainsaw Massacre (1974) with your basic stranded faceless teenage victims being bumped off but uses the interesting concept of fallen angels who roam the forest & kill people for reason that are never explained to any great deal of satisfaction. Then there's Stephen, played by the ever fantastic Tom Savini, who is never given any sort of justification for what he does. Is he there to get victims for the angels? If so why did he kill Andrew by bashing his head in? The story is very loose, it never felt like a proper film. The character's are poor, the dialogue not much better & the lack of any significant story makes it hard to get into it or care about anything that's going on. Having said that it moves along at a reasonable pace & there are a couple of decent scenes here.<br /><br />Director Johannes doesn't do anything special, it's not a particularly stylish or flash film to look at. There's a few decent horror scenes & the Tom Savini character is great whenever he's on screen (although why didn't he hear Judd breaking the door down with an axe while escaping with Molly?) & it's a shame when he gets killed off. There are a couple of decent gore scenes here, someone has their head bashed in, there's a decapitation, someone gets shotgun blasted, someone throat is bitten out, someones lips are bitten off & someone is ripped in half. There is also a fair amount of full frontal female nudity, not that it helps much.<br /><br />Technically Forest of the Damned is OK, it's reasonably well made but nothing overly special or eye-catching. This was shot in England & Wales & it's quite odd to see an English setting for a very American themed backwards horror. The acting is generally pretty poor save for Savini who deserves to be in better than this. Horror author Shaun Hutson has an embarrassing cameo at the end & proves he should stick to writing rather than acting.<br /><br />Forest of the Damned was a pretty poor horror film, it seems to have fans out there so maybe I'm missing something but it's not a film I have much fondness for. Apart from one or two decent moments there's not much here to recommend.",0,"Forest of the Damned starts out as five young friends, brother & sister Emilio (Richard Cambridge) & Ally (Sophie Holland) along with J"
"I saw this DVD on sale and bought it without a second thought, despite not even having known it was out since this is one of my favorite books of all time. As soon as I got home I raced to watch it only to find myself utterly disappointed. While it is true that this film is somewhat based on the book, the similarities end there. The characters are changed (ie Finny seems more a pompous jerk than anything else whereas Gene seems to be somewhat of a hillbilly), scenes are misplaced or altogether changed (ie. Lepper), many characters are missing and famous lines/thought are missing. The movie does attempt to portray some feeling that the previous one lacked but it is done in a lackluster way that makes for a flat boring movie. It is the depth of character and feeling that makes the book such a classic and this movie takes those things and utterly destroys them in its rewriting.",0,"I saw this DVD on sale and bought it without a second thought, despite not even having known it was out since this is one of my favorite books of"
"I don't know much about Tobe Hooper, or why he gets his name in the title, but maybe he shouldn't have bothered. As another commenter mentioned, there isn't really enough horror or erotica to bring in fans of either genre. The plot is incoherent, the Sade sequences are gratuitous, and most of the acting is so-so. Englund was doing his best with weak material, and Zoe Trilling has a really great bottom, but neither is enough to carry this film. This one's a tape-over. Grade: F",0,"I don't know much about Tobe Hooper, or why he gets his name in the title, but maybe he shouldn't have bothered. As another"
"I liked the understated character that Laura Linney played in 'Love Actually', and she is very good in 'Man of the Year'.<br /><br />But wow. Robin Williams doesn't give that much of a performance, with a couple of minor exceptions this was weak. Laura Linney may not have been miscast, but either the editing raped her character, or this was just a sad performance by director Barry Levinson.<br /><br />And I think it was Barry Levinson that got old. So many weak performances, such uneven results have to be the fault of management.<br /><br />Christopher Walken and Jeff Goldblum are great in supporting roles. Goldblum plays a sinister side with relish, and Walken's combination of entertainer's manager and commentator for the film is wonderful.<br /><br />But the story is cliché, the presentation looks like it could have (should have) been a very good picture, and too many actions are half-hearted. The pacing, story, and direction all come up weak, compared to, say 'Head Office' (spoof of 'Secret of My Success').",0,"I liked the understated character that Laura Linney played in 'Love Actually', and she is very good in 'Man of the Year'.<br /><"
"This film is probably the worst movie I have watched in a very long time. The acting is so wooden a door could have done a better job. The plot is laughable and shallow and the actual ""rugby"" shown is a far cry from reality. I still don't get the ""haka"" as portrayed in this poor excuse for entertainment. I am not a Kiwi but I do know that the Haka can only be performed by someone of Maori origin and not by an all-American white boy.<br /><br />I am assuming that this was made for the American audience so the shallowness and ""Disney end'"" is excusable but there was hardly any attempt to point out the basic rules of the game apart from the prison side where the main character suddenly takes charge of an American Football game and gets everyone playing rugby instead. The only thing good about this film were the end credits. It would be less painful to spend ninety minutes inserting toothpicks into your eyeballs.",0,This film is probably the worst movie I have watched in a very long time. The acting is so wooden a door could have done a better job. The
"This is the kind of film one watches in gape-jawed, horrified silence, and yet continues to watch, mesmerized, as if watching a train wreck in slow motion. And yet, in the back of your mind, thoughts are churning: ""Who on EARTH green-lighted this garbage?""<br /><br />Some of the preceding user comments say things like, ""A good way to introduce children to Laurel and Hardy"" -- an insult to children everywhere. That children would need some sort of training plan to learn to love slapstick comedy shows a profound misunderstanding of the nature of children the world over. Others have commented on the faithfulness of the two stars' characterizations of Laurel and Hardy to which I would respond: so WHAT? One would think that the rash of movie BOMBS based on beloved series (Rocky and Bullwinkle, Avengers, Flipper, Mod Squad, ad nauseam) would have taught Hollywood that there are some things that simply can't be recreated. The films of Laurel and Hardy are readily available on video: why bother with this?<br /><br />As for F. Murray Abraham, a fine actor of stage and screen... well, all I can say is, he must have been in trouble with the IRS.<br /><br />Run, don't walk, away from the television if this trash comes on!",0,"This is the kind of film one watches in gape-jawed, horrified silence, and yet continues to watch, mesmerized, as if watching a"
"Sorry I couldn't disagree more ,with the last comments . frankly I thought this was worse than Carry on Columbus , enough said . Last film for THE usually brilliant Charles Hartrey who looked out of place as the humour had move on to the Highly witty level of on the buses, films of which were being made at the same time ,were frankly funnier .Barbara Windsor was embarrassing,a character like one of your mums flirty friends who still thinks she's eighteen , on holiday with some non entity of a Scotsman , Rab c Nesbit he ain't. The series miraculously trundled on with duffers like Carry on Behind ,and Carry on England . Carry on Dick wasn't bad , but really with this film the end of the series was nigh , a pity because up to this film I cant think of bad film before this?",0,"Sorry I couldn't disagree more,with the last comments. frankly I thought this was worse than Carry on Columbus, enough said. Last film for THE usually"
"Next to the slasher films of the 1970s and 80s, ones about the walking dead were probably the second most popular horror sub-genre. While slasher films had 'Black Christmas' and 'Halloween' to get the whole thing going, zombie flicks had George Romero's 'Dead' films. And unsurprisingly soon after the success of his first two in the series, other directors wanted to cash in. A lot of Italian directors were especially interested, such as Lucio Fulci who brought us 'Zombie' a year after Romero's 'Dawn of the Dead', known as 'Zombi' in Italy and some other countries, and it was there that Fulci's film was known as 'Zombi 2'. Apart from the walking dead it has no relation to Romero's film, but is a good film in it's own right. It was a big success in Europe and 9 years later a sequel was born.<br /><br />Pros: Lots of beautiful, lush scenery. Awesome score. The acting isn't exactly good, but the cast is game and seem to be enjoying the experience. After kind of a slow start, the pace moves along like that of an action flick. Plenty cheese and unintentional hilarity for bad film lovers. Good job on the make-up effects. Lots of blood and some decent gore.<br /><br />Cons: Virtually plot less. Nothing you haven't already seen before. Blatantly rips off some things from the first couple of 'Return of the Living Dead' films. Cardboard characters. Hasn't aged too well due to the bad 1980s rock music(Not that I'm saying all rock music of that period is bad), clothing, and overall feel of the movie.<br /><br />Final thoughts: First of all, this is not a true sequel to Fulci's cult classic. In fact, I don't know if it was ever meant to pick up where that film left off. For those that don't know, Fulci was ill during production and ended up leaving and was replaced with Bruno Mattei. Mattei's films are pretty laughable, but like this film many are good campy fun. And that's all this film really is, just something to watch for fun.<br /><br />My rating: 3.5/5 (So-bad-it's-good rating) 2/5 (Serious rating)",0,"Next to the slasher films of the 1970s and 80s, ones about the walking dead were probably the second most popular horror sub-gen"
