text,label,input
"Jean Dujardin gets Connery's mannerisms down pat: the adjusting the cuff links when entering a club as all the women turn to admire him, the nonchalant straightening and smoothing down of the tie, the swaggering, steely gait. It's uncanny, and you come to realise just how much of Bond in the Sixties was Connery's creation and not really Ian Fleming's character. <br /><br />The cinematography is a nod to those early films, the movie takes off From Russia With Love and Thunderball mainly. The main joke is how chauvinistic the hero is, not just in terms of sexism but nationalism and colonialism, and how he puts noses out of joint when he is sent to Egypt. <br /><br />It's not perfect - about 20 mins in it seems a one-joke movie and bits of it remind one of spoofs of the day, of which there were plenty. Morcecambe and Wise's The Intelligence Men had suspect-looking men in fez's following their heroes around too, and that's going back a bit. Unlike Sellers' Clouseau or Baron Cohen's Borat, Dujardin doesn't give his character that layer of realness or genuine pathos - he is too busy perfecting his Connery mannerisms. It doesn't do enough with the credits or a big song, and there's no funny or serious villain, like Mike Myers' Dr Evil or Ricardo Montalban's Naked Gun nemesis, for the hero to go up against.<br /><br />But the scene where OSS117 wakes up in Cairo one morning had me laughing out loud in the three-quarters empty cinema, and the whole thing looks wonderful, plus you'll never get a chance to see Operation Kid Brother on the screen, and the women are ace crumpet, really hot. It's a Bond spoof without falling into the mad scientist/Ken Adam sets or funny gadgets routine. Throughly recommended.",1,"Jean Dujardin gets Connery's mannerisms down pat: the adjusting the cuff links when entering a club as all the women turn to admire him,"
"I have seen so many bad reviews on Supervivientes de los Andes that I felt compelled to stand for it (or at least I'll try). First of all, of course that it looks dated, it was made in the seventies with very low budget, but that's part of it's charm. I like contemporary films but also dig the old ones for what they worth. I'm not the one to feel the urge to only see or like movies with modern treatments and effects; besides, almost every movie buff likes old fashioned motion pictures (who doesn't like films from El Santo or Plan 9 from outer space, no matter it's overall quality?). In the aspect of pace, is just a tool for covering (again) it's low cost, and I think the constant dialogs are in order of a better character and situations development. Sure, Alive has better FX, but I won't despise the old one just because of that, and I don't feel quite attracted to English speakers in an event involving people from Uruguay and for me, that gives a plus to Supervivientes de los Andes. It's like, even if Canoa, from the seventies and based on a true event too, would have a better remake now due to the advance of technology, but I think I would stick to that one based on the emotions that offers regardless it's production date.<br /><br />All of this is based in the impact that had on me because the first time I saw it was on TV, and nowadays I don't think it has lost some of it's primal force. Of course it's been a long time and I've seen tons of better movies in every aspect of cinema, but that doesn't diminish it's true value. It's not a bad film, and I place it above Alive without hesitation. Just give it a break.",1,I have seen so many bad reviews on Supervivientes de los Andes that I felt compelled to stand for it (or at least I'll try).
"Looking backwards to that year 2002 when ""Furia"" was made, one can easily recognize the heralding sings of today's New Generation in Romania.<br /><br />The main qualities of ""Furia"" stand in a very solid script, with a substantial dramatic core and a really professional developing, plus a cast of excellent actors. All four leading roles are admirably performed, both with depth and casualness: Dragos Bucur and Andy Vasluianu confirmed, since then, being two of our best performers today, Dorina Chiriac follows them closely, and Adrian Tuli, a non-professional (in real life, a graveyard manager!) cast as Gabonu, was a genuine revelation! <br /><br />Further, Radu Muntean's directing is skilled and expressive, creating in a very compelling style that feeling of ""a fateful night"" and inescapable destiny. One can easily pass over the few awkward and even failed moments, since time proved them to be only the uncertainties inherent to a debut, never repeated in his subsequent movies: ""Hârtia va fi albasträ"" and ""Boogie"".",1,"Looking backwards to that year 2002 when ""Furia"" was made, one can easily recognize the heralding sings of today's New Generation in Romania"
"THE CELL (2000) Rating: 8/10<br /><br />The Cell, like Antz, must be watched twice to be appreciated. The first time I saw this film I thought it was mediocre, but the film had such a lasting impression on me after viewing, I decided I had to rent it again. I did, and I found the film to be much more likeable. The Cell is not for everyone, but it divides its stories up with quality and is a visually intelligent film that dreams up images and plot ideas that could not be matched. The film's script can be clunky at times, as can the acting, but the visuals are ingenious and bring the engaging story to an exotic and intriguing life. The Oscar nominated makeup is also daring and careful, while the beautiful costumes and utterly brilliant set decoration went unnoticed. Tarsem Singh who has also directed music videos, goes totally crazy with his direction and it results well. He has major talent and this film has a lot of potential if you give it a chance. Overall, The Cell is a powerful, disturbing and avoids being too tacky which makes it a great, pleasurable watch.",1,"THE CELL (2000) Rating: 8/10<br /><br />The Cell, like Antz, must be watched twice to be appreciated."
"I loved this movie! It was all I could do not to break down into tears while watching it, but it is really very uplifting. I was struck by the performance of Ray Liotta, but especially the talent of Tom Hulce portraying Ray's twin brother who is mentally slow due to a tragic and terrible childhood event. But Tom's character, though heartbreaking, knows no self pity and is so full of hope and life. This is a great movie, don't miss it!!",1,"I loved this movie! It was all I could do not to break down into tears while watching it, but it is really very uplifting. I was struck"
"- After their sons are sentenced to life in prison, Adelle (Debbie Reynolds) and Helen (Shirley Winters) begin receiving threatening phone calls because someone fells their sons got off easy. The pair decides to move to California to escape the publicity of the trial and to start a new life. They start a dance school that is soon very successful. One of the students has a rich unmarried father with whom Adelle quickly falls in love. In the meantime, Helen is busy raising rabbits and becoming a little too infatuated with an evangelist on the radio. It's only a mater of time before everything falls apart and the women enter a world of madness and murder.<br /><br />- I can't help but compare What's the Matter with Helen? to Whoever Slew Auntie Roo?, also starring Shelly Winters. Where that movie seemed almost restrained in its presentation of Auntie Roo's madness, there's nothing holding Helen back in this movie. It may take a good deal of the movie's running time, but once she snaps, Helen is one Bad Mad Mutha. You don't want to mess with her. Winters is so delightfully demented that it was impossible for me not to enjoy her performance. I'm not going to spoil the movie, but the things Helen is capable of are totally over-the-top.<br /><br />- As good as Winters is, Reynolds is totally ridiculous in her role as the gold-digging tap dancer. I got the impression that she thought she was in a movie that would get her nominated for some award. This ain't Citizen Kane! Quit acting so serious. Hey, Debbie, don't you realize that you're main purpose is to be a victim of Winters' insanity.<br /><br />- I just love these former-female-stars-in-the-twilight-of-their-career horror movies. What's the Matter with Helen? is as fun as any.",1,"- After their sons are sentenced to life in prison, Adelle (Debbie Reynolds) and Helen (Shirley Winters) begin receiving threatening phone"
I love playing football and I thought this movie was great because it contained a lot of football in it. This was a good Hollywood/bollywood film and I am glad it won 17 awards. Parminder Nagra and Kiera Knightley were good and so was Archie Punjabi. Jonathon Rheyes Meyers was great at playing the coach. Jazz (Parminder Nagra) loves playing football but her parents want her to learn how to cook an want her to get married. When Jazz starts playing for a football team secretly she meets Juliet (Kiera Knightlety) and Joe (Jonathon Rhyes Meyers) who is her coach. When her parents find out trouble strikes but her dad lets her play the big match on her sisters Pinky (Archie Punjabi's) wedding. At the end her parents realise how much she loves football and let her go abroad to play.,1,I love playing football and I thought this movie was great because it contained a lot of football in it. This was a good Hollywood/bollywood film and I
"This Showtime cable film features a talented cast and weaves together several storylines involving the darker side of New York... from the naive and innocent tourists' nightmarish adventure to a pair of undercover cops on the streets... to an old friend's betrayal, it has it all.<br /><br />Well worth a look, as is its sequel.",1,This Showtime cable film features a talented cast and weaves together several storylines involving the darker side of New York... from the naive and innocent tourists'
"This is a film i decided to go and see because I'm a huge fan of adult animation. I quite often find that when a film doesn't evolve around a famous actor or actress but rather a story or style, it allows the film to be viewed as a piece of art rather than a showcase of the actors ability to differ his styles.<br /><br />This film is certainly more about style than story. While i found the story interesting (a thriller that borrows story and atmosphere from films such as Blade Runner and many anime films), it was a bit hard to follow at times, and didn't feel like it all came together as well as it could have. It definitely had a mixed sense of French Animation and Japanese Anime coming together. Whether thats a good thing or not is up to the viewer. Visually this film is a treat for the eyes, and in that sense a work of art.<br /><br />If you like adult animation, or would like to see a film that is different from most films out at the moment. I would recommend it. All i can say is that i enjoyed the experience of the film but did come away slightly disappointed because it could have been better",1,This is a film i decided to go and see because I'm a huge fan of adult animation. I quite often find that when a film doesn't evolve
"This movie is my all time favorite!!! You really have to see Michael Jackson in this wonderful film!! I'm always over the moon, watching it!! This is a film, that you really have to see, also if you aren't a MJ Fan, cause this film writes, like Captain EO, E.T. and Ghosts, a bit of Film and music History!! This wonderful film, out of Michael's feather, is a must have!! And: Smooth Criminal, is really the most wonderful, exciting and amazing song I've ever heard in my life!! Thank you Michael for this film and I love you!!! MJ's the best musician to hit this planet, he's a fine man and he always brings sparkles in your eyes, when you listen to his music!! Please, if you don't know this film, watch it and don't miss it, because would be too bad for yourself if you'd miss it!! -Highly Recommanded film, for every movie lover-",1,"This movie is my all time favorite!!! You really have to see Michael Jackson in this wonderful film!! I'm always over the moon, watching it!! This"
"I simply can't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is. It's like the movie doesn't even need additional characters because you can never get tired of the dialog between these two.<br /><br />Lemmon had already been in several well-known films like Mr. Roberts and The Apartment and Matthau was fresh off his Oscar win for The Fortune Cookie (another Billy Wilder film also with Lemmon). That particular movie wasn't as great as this one because the story couldn't sustain such a long running time (I think it was almost 2 hours). However, this goes by at a brisk hour and a half, even though the introduction of the events leading up to Lemmon ending up at Matthau's apartment is a tad long (so was this sentence). That's a minor quibble though and for the rest of the running time you have a marvelous time.<br /><br />I have already written a comment about how the follow-up to this film sucked and I won't go deeper into that. The reason why this is such a joy is probably that the movie was made just as the innocence of American movies was beginning to fade fast into oblivion. There are some sexual references but they are dealt with in such an innocent way that you couldn't even get a ""Well, I never..."" out of the most prudish person out there. It is kind of fun to see a movie from a long lost era and that was probably why the sequel didn't work because you had Matthau and Lemmon say quite a few f-words and that just doesn't fit them.<br /><br />Of course, now they are both gone and you can just be happy that you still can enjoy them in a marvelous film like this. I think the only male actor in this film who is still alive is John Fiedler. Edelman died recently. So there you have it. Simply one of the best comedies and films ever.<br /><br />Add: I have just learned recently that John Fiedler has died so to all the fans of him I am deeply sorry. I didn't mean any disrespect and I will try to be more careful of what I am blah blah blahing next time.",1,I simply can't get over how brilliant the pairing of Walter Matthau and Jack Lemmon is. It's like the movie doesn't even need additional characters
"Stuck in a hotel in Kuwait, I happily switched to the channel showing this at the very beginning. First Pachelbel's Canon brought a lump to my throat, then the sight of a Tiger Moth (which my grandfather, my father and I have all flown) produced a slight dampness around the eyes and then Crowe's name hooked me completely. I was entranced by this film, Crowe's performance (again), the subject matter (and yes, what a debt we owe), how various matters were addressed and dealt with, the flying sequences (my father flew Avro Ansons, too), the story - and, as another contributor pointed out, Crowe's recitation of High Flight. I won't spoil the film for anyone, but, separated from my wife by 4,000-odd miles, as an ex-army officer who was deployed in a couple of wars and as private pilot, I admit to crying heartily a couple of times. Buy it, rent it, download it, beg, borrow or steal it - but watch it.<br /><br />PS Did I spy a Bristol Blenheim (in yellow training colours)on the ground? Looked like a twin-engine aircraft with a twin-.303 Brownings in a dorsal turret.",1,"Stuck in a hotel in Kuwait, I happily switched to the channel showing this at the very beginning. First Pachelbel's Canon brought a lump to"
